Категория,Значение
B,20.4099128863355
C,79.35258861802814
B,29.87556446870573
D,67.11411834332496
A,65.49629161651805
B,45.21438544518526
D,58.367793729643104
B,72.61586753946064
C,10.891444999048616
C,89.44095926707786
C,87.8121163965074
A,50.6224022351784
A,53.90423121942294
B,2.5849354888340836
C,92.04683229653673
C,80.88130664248584
D,57.54751280351571
A,38.995820533424485
A,17.006308733525966
D,1.122361407455219
D,0.5464475976783345
B,63.84455565702611
C,87.47202888939941
D,70.95009980869192
B,90.59845006053109
C,87.41958123073181
D,12.75770889448843
D,61.65372930482664
D,38.301637283106956
D,88.94112862050414
B,83.19222133009664
C,80.79687690624586
C,97.93303641211054
C,30.10872043261997
C,61.43313997977672
A,86.4060319182812
D,40.25515426790902
B,96.5217455092879
D,79.16348312885175
D,71.32421988098766
D,87.10467745923374
D,19.657467017434506
D,7.458439412073692
D,90.08418671222137
D,30.861034760039608
C,5.53512623189868
C,25.935789010650147
C,69.62560270584119
A,94.0289851754942
C,40.150987522602264
B,76.63703422116292
D,19.97280875908175
C,98.5337968416673
C,52.53124844442346
A,42.72715596934846
C,54.359459384729725
C,20.57837594570482
C,29.338578936320648
B,96.40505314075808
B,50.70203505422999
C,94.61037023532253
A,47.584181613711195
D,48.848107792749495
D,23.071963084663103
C,62.082913676630945
D,97.40524287437688
A,64.22690576334364
A,14.405367255498202
D,73.21060349563876
A,29.410611519662222
A,86.96901659696574
A,24.409317345097868
C,37.22590408945481
D,33.582949379911945
B,56.47115789476693
A,10.900788734014
A,34.238580077448475
B,26.56539548163792
A,12.807140496789138
A,15.492809292159304
B,69.45319323545354
A,51.28976870925742
D,42.74451076544534
B,64.05478023535217
D,98.05540059558753
A,30.49704500529158
B,7.928201553270819
A,13.965357707574578
D,71.01530345612123
B,5.100827869435487
D,9.133972724529581
B,57.052354174956776
C,30.341642707159412
C,83.26110339151084
C,60.9362917357778
B,63.677104548161765
D,80.04584389175264
A,33.134312105370455
C,54.98453335461924
B,43.066502849888245
