Категория,Значение
D,30.976152946915402
B,55.541940475253114
C,72.40029566483302
B,20.142747797031625
C,24.30431706582954
B,84.18024358612823
A,98.36378917426768
D,54.30835018084373
A,26.9042800264936
D,28.46603212921015
C,61.63907710043842
D,36.57535031107678
D,62.12201672735355
A,93.27822850441314
A,54.095445645381425
C,50.229399962795526
B,80.71408628028648
B,28.844873490627997
C,44.51104122488613
A,69.80454466307276
D,84.41066314926812
D,30.1322309857035
B,3.377305300680822
D,17.658450328139764
C,73.55873160738983
A,86.5321924122642
D,91.01499457099926
C,14.683637647401204
B,18.417249934385914
C,64.43462752223226
C,35.482150417932445
B,54.151713083707534
C,64.64253692172656
B,19.59656776973082
D,39.25220543477127
C,65.13291665906168
B,41.92946919123207
A,21.213947384006783
B,55.3896865182472
B,96.84708175870539
A,31.011922258781
C,99.30321361819917
B,57.94070676001797
D,6.879153304131047
C,27.83946318069701
A,78.01245638656712
B,41.71226386202611
D,22.033120932759665
D,49.413033322565546
C,20.253324261554752
D,37.621004966054336
C,13.393736919131738
A,52.507633326307946
C,48.53087057036616
B,40.293795448880466
D,69.66036385913418
D,4.512752991363945
D,86.1353467296724
C,86.89872773786405
A,52.403859073721605
A,1.8438360703942558
D,74.1216317663722
B,3.6697112429881718
C,43.934035357868865
A,78.67314740467761
B,44.683456070958115
A,7.78157882079139
A,94.91602278505185
A,4.067740127359743
A,67.8076282376337
D,36.15576424875131
B,32.15951206377569
C,90.82559613014219
B,61.916879513436704
D,19.77452675064888
D,49.403883964074645
C,10.962227192416362
C,40.82182509634116
A,49.628283335779045
C,2.019831231332181
C,7.262106120135126
A,67.9866675481152
B,76.01970625096907
A,19.922295981106565
B,85.9697359266074
C,16.232543544722546
C,67.05678448927262
D,96.73182157706148
B,53.754868063204384
B,23.27492474132543
B,51.04284018521433
A,63.32069058445631
C,62.79769814450618
C,76.02627908019225
B,66.39813475791433
B,24.397696117970003
B,86.18158816729635
A,73.64287739304196
C,19.229411075664437
B,73.00564833638798
